Time,Start Side,Left duration (min),Right duration (min),Total Duration (min),Left amount (ml),Right amount (ml),Total amount (ml),Note
"2022/8/25, 20:08",,,,,10,,10
"2022/8/25, 19:41",,,,,40,40,80
"2022/8/25, 16:20",,,,,2,2,4
"2022/8/25, 16:00",,,,,40,20,60
"2022/8/25, 12:16",,,,,10,10,20
"2022/8/25, 11:50",,,,,40,30,70
"2022/8/25, 08:11",,,,,10,5,15
"2022/8/25, 07:47",,,,,40,40,80
"2022/8/25, 05:03",,,,,10,10,20
"2022/8/25, 04:34",,,,,30,30,60
"2022/8/25, 01:27",,,,,5,10,15
"2022/8/25, 01:01",,,,,50,40,90
"2022/8/24, 22:35",,,,,10,15,25
"2022/8/24, 22:02",,,,,30,25,55
"2022/8/24, 18:44",,,,,10,15,25
"2022/8/24, 18:18",,,,,40,35,75
"2022/8/24, 14:50",,,,,10,10,20
"2022/8/24, 14:19",,,,,35,30,65
"2022/8/24, 10:31",,,,,10,10,20
"2022/8/24, 10:02",,,,,40,30,70
"2022/8/24, 06:31",,,,,10,10,20
"2022/8/24, 06:07",,,,,40,40,80
"2022/8/24, 02:50",,,,,15,10,25
"2022/8/24, 02:24",,,,,40,40,80
"2022/8/23, 22:59",,,,,5,10,15
"2022/8/23, 22:38",,,,,40,30,70
"2022/8/23, 19:44",,,,,,5,5
"2022/8/23, 19:19",,,,,40,35,75
"2022/8/23, 15:57",,,,,,5,5
"2022/8/23, 15:41",,,,,40,25,65
"2022/8/23, 12:18",,,,,30,2,32
"2022/8/23, 11:47",,,,,15,10,25
"2022/8/23, 11:07",,,,,30,30,60
"2022/8/23, 07:59",,,,,15,15,30
"2022/8/23, 07:33",,,,,35,30,65
"2022/8/23, 04:18",,,,,10,10,20
"2022/8/23, 03:56",,,,,40,40,80
"2022/8/23, 00:20",,,,,10,,10
"2022/8/22, 23:57",,,,,40,40,80
"2022/8/22, 20:46",,,,,20,10,30
"2022/8/22, 20:21",,,,,30,30,60
"2022/8/22, 17:06",,,,,1,25,26
"2022/8/22, 16:40",,,,,40,20,60
"2022/8/22, 12:58",,,,,15,10,25
"2022/8/22, 12:32",,,,,40,40,80
"2022/8/22, 09:02",,,,,10,2,12
"2022/8/22, 08:39",,,,,40,40,80
"2022/8/22, 05:21",,,,,30,25,55
"2022/8/22, 04:40",,,,,40,35,75
"2022/8/22, 00:58",,,,,10,10,20
"2022/8/22, 00:31",,,,,30,30,60
"2022/8/21, 21:46",,,,,5,10,15
"2022/8/21, 21:23",,,,,35,30,65
"2022/8/21, 18:10",,,,,5,5,10
"2022/8/21, 17:42",,,,,25,25,50
"2022/8/21, 13:02",,,,,15,10,25
"2022/8/21, 12:42",,,,,30,30,60
"2022/8/21, 09:33",,,,,50,40,90
"2022/8/21, 05:17",,,,,10,10,20
"2022/8/21, 04:47",,,,,30,30,60
"2022/8/21, 02:04",,,,,5,10,15
"2022/8/21, 01:43",,,,,50,35,85
"2022/8/20, 21:38",,,,,5,10,15
"2022/8/20, 21:20",,,,,40,30,70
"2022/8/20, 18:01",,,,,15,10,25
"2022/8/20, 17:30",,,,,35,30,65
"2022/8/20, 13:15",,,,,2,5,7
"2022/8/20, 12:54",,,,,40,30,70
"2022/8/20, 08:58",,,,,30,20,50
"2022/8/20, 06:30",,,,,5,5,10
"2022/8/20, 06:11",,,,,45,35,80
"2022/8/20, 02:53",,,,,5,,5
"2022/8/20, 02:30",,,,,40,40,80
"2022/8/19, 23:14",,,,,5,5,10
"2022/8/19, 22:55",,,,,45,40,85
"2022/8/19, 19:47",,,,,1,3,4
"2022/8/19, 19:26",,,,,40,40,80
"2022/8/19, 16:11",,,,,5,5,10
"2022/8/19, 15:55",,,,,40,40,80
"2022/8/19, 12:29",,,,,20,20,40
"2022/8/19, 11:59",,,,,40,30,70
"2022/8/19, 08:31",,,,,10,10,20
"2022/8/19, 08:01",,,,,30,30,60
"2022/8/19, 04:54",,,,,40,35,75
"2022/8/19, 01:46",,,,,15,10,25
"2022/8/19, 01:26",,,,,45,35,80
"2022/8/18, 22:04",,,,,15,10,25
"2022/8/18, 21:42",,,,,30,25,55
"2022/8/18, 18:41",,,,,20,10,30
"2022/8/18, 18:23",,,,,25,10,35
"2022/8/18, 14:31",,,,,5,5,10
"2022/8/18, 14:18",,,,,35,35,70
"2022/8/18, 11:17",,,,,15,10,25
"2022/8/18, 10:56",,,,,40,30,70
"2022/8/18, 07:05",,,,,15,10,25
"2022/8/18, 06:40",,,,,35,30,65
"2022/8/18, 03:33",,,,,5,5,10
"2022/8/18, 03:13",,,,,50,40,90
"2022/8/17, 23:52",,,,,10,2,12
"2022/8/17, 23:35",,,,,40,40,80
"2022/8/17, 20:16",,,,,1,1,2
"2022/8/17, 19:57",,,,,40,40,80
"2022/8/17, 16:47",,,,,2,3,5
"2022/8/17, 16:31",,,,,40,30,70
"2022/8/17, 12:33",,,,,10,10,20
"2022/8/17, 12:08",,,,,40,30,70
"2022/8/17, 08:32",,,,,5,5,10
"2022/8/17, 08:13",,,,,40,35,75
"2022/8/17, 05:13",,,,,10,15,25
"2022/8/17, 04:49",,,,,50,40,90
"2022/8/17, 00:48",,,,,10,15,25
"2022/8/17, 00:24",,,,,45,45,90
"2022/8/16, 20:30",,,,,5,5,10
"2022/8/16, 20:10",,,,,35,35,70
"2022/8/16, 17:11",,,,,10,10,20
"2022/8/16, 16:28",,,,,40,20,60
"2022/8/16, 11:49",,,,,5,5,10
"2022/8/16, 11:28",,,,,45,30,75
"2022/8/16, 07:04",,,,,2,10,12
"2022/8/16, 06:46",,,,,35,30,65
"2022/8/16, 03:54",,,,,5,5,10
"2022/8/16, 03:29",,,,,40,40,80
"2022/8/16, 00:23",,,,,5,10,15
"2022/8/16, 00:05",,,,,50,40,90
"2022/8/15, 20:19",,,,,20,20,40
"2022/8/15, 19:23",,,,,40,35,75
"2022/8/15, 15:46",,,,,2,2,4
"2022/8/15, 15:29",,,,,30,30,60
"2022/8/15, 12:00",,,,,10,10,20
"2022/8/15, 11:42",,,,,40,35,75
"2022/8/15, 08:00",,,,,5,10,15
"2022/8/15, 07:37",,,,,35,25,60
"2022/8/15, 05:17",,,,,10,10,20
"2022/8/15, 04:57",,,,,50,45,95
"2022/8/15, 00:45",,,,,10,10,20
"2022/8/15, 00:19",,,,,40,40,80
"2022/8/14, 20:44",,,,,5,10,15
"2022/8/14, 20:24",,,,,40,30,70
"2022/8/14, 17:28",,,,,5,10,15
"2022/8/14, 17:06",,,,,35,35,70
"2022/8/14, 13:08",,,,,10,10,20
"2022/8/14, 12:39",,,,,40,35,75
"2022/8/14, 09:24",,,,,10,5,15
"2022/8/14, 09:06",,,,,25,30,55
"2022/8/14, 05:39",,,,,10,10,20
"2022/8/14, 05:19",,,,,45,40,85
"2022/8/14, 01:50",,,,,15,20,35
"2022/8/14, 01:25",,,,,40,40,80
"2022/8/13, 21:49",,,,,5,10,15
"2022/8/13, 21:32",,,,,50,50,100
"2022/8/13, 18:13",,,,,10,10,20
"2022/8/13, 17:43",,,,,40,30,70
"2022/8/13, 14:02",,,,,5,10,15
"2022/8/13, 13:36",,,,,30,30,60
"2022/8/13, 10:17",,,,,15,10,25
